Country Name,Country Code,Series Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Afghanistan,AFG,Military expenditure (% of general government expenditure),,,10.5026598533092,4.97282537449934,4.27573619654266,3.72485527466578,3.65259208973618,3.6802510519657,3.83314218682084,5.10979266008033,4.31176435442433,4.696372864714,8.30276004557373,9.35459613289025,9.86038937465642,11.1654087876017,11.9484046164291,10.3603817107467,12.6897579454611,16.134336001725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Military expenditure (% of GDP),,,1.827933856217,1.35885692738929,1.17096838242129,1.00674585570556,0.945226799939516,0.956772140958855,0.994575822723645,1.29801287790022,1.07694976762403,1.17541612009987,1.82134545354632,1.94583569418812,2.08741255278385,2.335545701939,2.56626735198569,1.89623399634252,1.99206569856085,2.43125378739118,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0114747930775,2.04608695652174,1.72206572769953,1.61082474226804,1.86891025641026,,,1.62960609911055,,,,,,,,,,
Afghanistan,AFG,Arms imports (SIPRI trend indicator values),,,65000000.0,234000000.0,383000000.0,314000000.0,236000000.0,171000000.0,139000000.0,332000000.0,261000000.0,525000000.0,633000000.0,365000000.0,326000000.0,148000000.0,40000000.0,3000000.0,33000000.0,,,34000000.0,,,,,,,,,,,1236000000.0,1690000000.0,1976000000.0,1005000000.0,567000000.0,288000000.0,158000000.0,373000000.0,241000000.0,299000000.0,384000000.0,354000000.0,365000000.0,281000000.0,75000000.0,230000000.0,90000000.0,,,124000000.0,149000000.0,9000000.0,92000000.0,145000000.0,230000000.0,198000000.0,91000000.0,56000000.0,40000000.0,64000000.0,55000000.0,39000000.0
Afghanistan,AFG,Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Government expenditure on education, total (% of government expenditure)",,,,,,,8.20247173309326,8.26023578643799,7.28490495681763,7.96457004547119,7.13206768035889,6.48944759368896,5.14692163467407,6.39557981491089,6.49249029159546,4.86058568954468,10.8146924972534,14.559211730957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),,,0.72091633,1.18621242,0.49705607,0.55239552,0.64313394,0.60012972,0.52267277,0.47265697,0.44335932,0.34288675,0.47999981,0.46915731,0.53190351,0.62779975,0.55994755,0.49784002,0.5291841,0.54292566,0.65096337,0.08418062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Domestic general government health expenditure (% of general government expenditure),,,4.05148983,4.24602795,1.77526009,1.90904689,2.31911564,2.14110541,2.01440597,1.86067402,1.77506959,1.37000275,2.18811917,2.25547075,2.51257253,3.00128436,2.60708547,2.72002935,3.37097836,3.60296822,5.45767879,1.21245599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Military expenditure (% of general government expenditure),5.61952875583332,3.97041542821594,3.86998513866664,3.98075632132468,4.40511619586606,3.99130087621609,3.80346444991409,3.78723434007733,3.77889251316413,4.24378498276555,4.82648553602103,5.26790009594914,5.28386450211732,5.30374152460951,4.64272721436367,6.25619786501779,6.22608105672699,5.42898862467715,4.73437520175261,4.66321103763279,4.61292952593064,4.26975280105134,4.14741288966839,3.84384065661926,3.57882714586864,3.58251376938142,4.42469942524728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Military expenditure (% of GDP),1.74399167669186,1.21098343566728,1.24298808396067,1.29583570269739,1.28080596201472,1.16054478505068,1.10915100558884,1.10358100880452,1.16230386432234,1.34651599128914,1.40898210141146,1.48708257655216,1.52826633776627,1.55859189302349,1.5172171395597,1.98486885667765,1.8207653435572,1.56776908873068,1.35000497056322,1.38115794211088,1.33684292419802,1.32003449433204,1.30929137475594,1.24636024189216,1.24921009885957,1.23824256064749,1.28308078036268,1.37902962734156,2.05358735905793,2.54781906037648,3.19945106674965,4.6708878237371,5.79127042184833,5.8883007196812,5.16761272357288,5.61731662843362,5.86222892264873,5.62618650405569,5.65142619937141,6.11750454270139,5.44128198995456,5.65159574468085,5.84831705344366,6.05202163275818,,,,,,,,,,,,,,,,,,,,
